dataset,uncalibrated_baseline_tok_s,uncalibrated_eagle3_tok_s,uncalibrated_rl_tok_s,uncalibrated_eagle3_over_baseline,uncalibrated_rl_over_baseline,uncalibrated_rl_over_eagle3,uncalibrated_avg_acceptance_len,uncalibrated_avg_size_tokens,uncalibrated_avg_depth_stop,light_calibrated_baseline_tok_s,light_calibrated_eagle3_tok_s,light_calibrated_rl_tok_s,light_calibrated_eagle3_over_baseline,light_calibrated_rl_over_baseline,light_calibrated_rl_over_eagle3,light_calibrated_avg_acceptance_len,light_calibrated_avg_size_tokens,light_calibrated_avg_depth_stop,partial_heavy_calibrated_baseline_tok_s,partial_heavy_calibrated_eagle3_tok_s,partial_heavy_calibrated_rl_tok_s,partial_heavy_calibrated_eagle3_over_baseline,partial_heavy_calibrated_rl_over_baseline,partial_heavy_calibrated_rl_over_eagle3,partial_heavy_calibrated_avg_acceptance_len,partial_heavy_calibrated_avg_size_tokens,partial_heavy_calibrated_avg_depth_stop,partial_vs_uncal_rl_tok_s_pct,partial_vs_light_rl_tok_s_pct,partial_vs_uncal_rl_over_eagle3_pct
humaneval,20.046645452192333,50.34418437979215,46.070831899439426,2.5113520613637847,2.2981816089534846,0.9151172566802368,2.9852385475186995,10.0,3.0,20.032138462689318,50.312967445354786,46.03636791850551,2.511612404190634,2.2981254849176556,0.9150000537834682,2.9852385475186995,10.0,3.0,19.994673136126522,50.249610337073406,45.94920970731317,2.5131498772181495,2.2980725613509434,0.914419224330035,2.9852385475186995,10.0,3.0,-0.2639895723865471,-0.18932469074586233,-0.07627791357952551
alpaca,20.288762367294538,48.134439851522174,44.787487267133855,2.3724680185083558,2.207502185511879,0.9304665724850546,2.8549143915239186,10.0,3.0,20.27273485751349,48.09751320142288,44.73076840105462,2.3725221850665577,2.206449633729436,0.930001686651262,2.8549143915239186,10.0,3.0,20.23937026736626,48.049215802542925,44.67791040558431,2.3740469771441925,2.2074753223731713,0.9298364116739614,2.8549143915239186,10.0,3.0,-0.24465954273338308,-0.11816920960620036,-0.06772524986150552
gsm8k,20.185510165625036,56.78833659268148,51.578661576223176,2.813321839612918,2.555232003204912,0.9082615316975194,3.3179756797850275,10.0,3.0,20.170524191631035,56.75498988141982,51.555901427284404,2.8137587968570528,2.5560020620919457,0.9083941612006619,3.3179756797850275,10.0,3.0,20.137247771756613,56.699921736498766,51.515419652063116,2.8156738388064597,2.5582155136570246,0.9085624472546971,3.3179756797850275,10.0,3.0,-0.12261257315993035,-0.078520157926798,0.03313093714487625
mt_bench,20.20359907253154,49.9794553286237,45.9706058750092,2.4737897019830934,2.2753671615623197,0.9197900531877425,2.9475009209989116,10.0,3.0,20.168024789611085,49.85907831400375,45.78650321510352,2.472184501661614,2.270252228105599,0.9183182835179611,2.9475009209989116,10.0,3.0,20.151600411861526,49.87944984579865,45.87141904300324,2.4752103468883235,2.2763164267589713,0.9196456493568762,2.9475009209989116,10.0,3.0,-0.21576141997265985,0.18546039102569356,-0.01569965128084272
average,20.181129264410863,51.31160403815488,47.101896654451416,2.542732905367038,2.334070739808149,0.9184088535126383,3.026407384956639,10.0,3.0,20.160855575361232,51.25613721055031,47.027385240487014,2.5425194719439648,2.332707352211159,0.9179285462883384,3.026407384956639,10.0,3.0,20.13072289677773,51.21954943047844,47.00348970199096,2.544520260014281,2.3350199560350275,0.9181159331538925,3.026407384956639,10.0,3.0,-0.2117557770631301,-0.050138416813291786,-0.031642969394249376
