source_log,dataset,config_index,size,throughput,avg_acceptance_len,elapsed_time,draft,verify,depth,kv,launch,fixed
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,7,10,39.8,2.82,0.07085427135678392,10.0,11.0,3.0,2.82,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,8,30,46.3,3.38,0.07300215982721382,30.0,31.0,3.0,3.38,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,9,60,48.0,3.64,0.07583333333333334,60.0,61.0,3.0,3.64,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,10,100,47.1,3.86,0.08195329087048832,100.0,101.0,3.0,3.86,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,11,160,37.1,3.95,0.10646900269541779,160.0,161.0,3.0,3.95,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,12,220,33.0,4.05,0.12272727272727273,220.0,221.0,3.0,4.05,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,13,10,40.0,2.83,0.07075000000000001,10.0,11.0,5.0,2.83,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,14,30,46.1,3.37,0.07310195227765727,30.0,31.0,5.0,3.37,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,15,60,48.2,3.66,0.07593360995850622,60.0,61.0,5.0,3.66,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,16,100,47.1,3.86,0.08195329087048832,100.0,101.0,5.0,3.86,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,17,160,37.4,3.99,0.10668449197860963,160.0,161.0,5.0,3.99,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,18,220,32.8,4.03,0.1228658536585366,220.0,221.0,5.0,4.03,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,19,10,40.0,2.83,0.07075000000000001,10.0,11.0,8.0,2.83,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,20,30,46.0,3.36,0.07304347826086956,30.0,31.0,8.0,3.36,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,21,60,48.0,3.65,0.07604166666666666,60.0,61.0,8.0,3.65,10.0,1.0
