dataset,uncal_baseline_tok_s,uncal_eagle3_tok_s,uncal_rl_tok_s,uncal_rl_over_eagle3,uncal_rl_over_baseline,uncal_avg_acceptance_len,uncal_avg_size_tokens,uncal_avg_depth_stop,cal_baseline_tok_s,cal_eagle3_tok_s,cal_rl_tok_s,cal_rl_over_eagle3,cal_rl_over_baseline,cal_avg_acceptance_len,cal_avg_size_tokens,cal_avg_depth_stop,cal_vs_uncal_rl_tok_s_pct,cal_vs_uncal_ratio_points,cal_vs_uncal_ratio_pct
humaneval,20.046645452192333,50.34418437979215,46.070831899439426,0.9151172566802368,2.2981816089534846,2.9852385475186995,10.0,3.0,20.032138462689318,50.312967445354786,46.03636791850551,0.9150000537834682,2.2981254849176556,2.9852385475186995,10.0,3.0,-0.07480650883218143,-0.00011720289676864226,-0.012807418493432365
alpaca,20.288762367294538,48.134439851522174,44.787487267133855,0.9304665724850546,2.207502185511879,2.8549143915239186,10.0,3.0,20.27273485751349,48.09751320142288,44.73076840105462,0.930001686651262,2.206449633729436,2.8549143915239186,10.0,3.0,-0.12663998259365705,-0.000464885833792561,-0.049962658255520154
gsm8k,20.185510165625036,56.78833659268148,51.578661576223176,0.9082615316975194,2.555232003204912,3.3179756797850275,10.0,3.0,20.170524191631035,56.75498988141982,51.555901427284404,0.9083941612006619,2.5560020620919457,3.3179756797850275,10.0,3.0,-0.04412706387337817,0.00013262950314241184,0.014602567488952722
mt_bench,20.20359907253154,49.9794553286237,45.9706058750092,0.9197900531877425,2.2753671615623197,2.9475009209989116,10.0,3.0,20.168024789611085,49.85907831400375,45.78650321510352,0.9183182835179611,2.270252228105599,2.9475009209989116,10.0,3.0,-0.40047908092888385,-0.0014717696697814642,-0.16001147921536063
average,20.181129264410863,51.31160403815488,47.101896654451416,0.9184088535126383,2.334070739808149,3.026407384956639,10.0,3.0,20.160855575361232,51.25613721055031,47.027385240487014,0.9179285462883384,2.332707352211159,3.026407384956639,10.0,3.0,-0.16151315905702512,-0.0004803072243000639,-0.05204474711884011
