experiment_label,source_policy,policy_train_gpu,benchmark_gpu_tag,actual_gpu_name,eval_quantization,dataset,baseline_tp,eagle3_tp,eagle3_rl_tp,rl_vs_eagle3,rl_vs_baseline,rl_acceptance,rl_size_tokens,rl_depth_stop,result_file
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,humaneval,20.032138462689318,50.3129674453548,46.036367918505505,0.9150000537834677,2.2981254849176556,2.9852385475187,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_light/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260506_210802.json
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,alpaca,20.27273485751349,48.097513201422885,44.73076840105462,0.9300016866512619,2.206449633729436,2.8549143915239195,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_light/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260506_210802.json
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,gsm8k,20.170524191631035,56.754989881419824,51.55590142728441,0.9083941612006619,2.556002062091946,3.3179756797850275,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_light/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260506_210802.json
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,mt_bench,20.168024789611085,49.859078314003746,45.78650321510352,0.9183182835179612,2.270252228105599,2.947500920998912,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_light/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260506_210802.json
