dataset,original_baseline_tok_s,original_eagle3_tok_s,original_rl_tok_s,original_rl_over_eagle3,original_rl_over_baseline,original_avg_acceptance_len,original_avg_size_tokens,original_avg_depth_stop,new_baseline_tok_s,new_eagle3_tok_s,new_rl_tok_s,new_rl_over_eagle3,new_rl_over_baseline,new_avg_acceptance_len,new_avg_size_tokens,new_avg_depth_stop,new_vs_original_rl_tok_s_pct,new_vs_original_rl_over_eagle3_pct,new_vs_original_rl_over_baseline_pct,new_eagle3_gap_pct,original_eagle3_gain_pct
humaneval,34.34052208154756,89.63144287885486,93.96037400453977,1.048297014826994,2.736137027311771,4.235109268642844,190.0,5.159859286208409,30.94586935796614,78.66023498663262,71.0382079667523,0.9031019037614674,2.2955634933056266,3.013544070372847,10.0,3.0,-24.395567046891465,-13.850569925498535,-16.102027406098284,-9.689809623853263,4.829701482699389
alpaca,34.54429555364234,84.98274417695058,90.06644341198417,1.0598203704089426,2.607273993245104,3.94858893044645,190.0,4.92561392107248,30.697383589926094,73.8067416008255,66.2957718363375,0.8982346381701803,2.1596554521374145,2.830572842190813,10.0,3.0,-26.39237286956506,-15.246520707694334,-17.168066811059155,-10.176536182981966,5.982037040894261
gsm8k,34.35522311539802,102.37405887521697,105.20238410263832,1.0276273624245842,3.0621947570902717,4.794278622517959,190.0,5.705570704457931,30.868970462960885,89.31710216136511,77.63104091901685,0.869162109388238,2.5148568207729807,3.3042390025956077,10.0,3.0,-26.207907186515953,-15.420497626928032,-17.87404067131827,-13.083789061176198,2.762736242458419
mt_bench,34.488013025467,89.84639002265087,94.00557343572305,1.046292159451522,2.7257462865809776,4.173450466366674,190.0,5.058932334917152,31.706490853725636,80.59827824991119,71.60356509515859,0.8884006786489572,2.2583251305069885,2.9327029474990653,10.0,3.0,-23.83051081102334,-15.090572874533748,-17.14837358029737,-11.159932135104278,4.629215945152199
average,34.432013444013734,91.7086589884183,95.80869373872133,1.0455092267780106,2.782838016057031,4.287856821993482,190.0,5.2124940616639925,31.05467856614469,80.59558924968361,71.6421464543163,0.8897248324922107,2.3071002241807523,3.020264715664583,10.0,3.0,-25.206589478498955,-14.902040283663663,-17.07312711719327,-11.027516750778926,4.550922677801067
