experiment_label,source_policy,policy_train_gpu,benchmark_gpu_tag,actual_gpu_name,eval_quantization,dataset,baseline_tp,eagle3_tp,eagle3_rl_tp,rl_vs_eagle3,rl_vs_baseline,rl_acceptance,rl_size_tokens,rl_depth_stop,result_file
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,humaneval,19.994673136126522,50.249610337073406,45.94920970731318,0.9144192243300352,2.2980725613509434,2.9852385475187,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_partial_heavy/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260507_001625.json
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,alpaca,20.239370267366265,48.04921580254292,44.67791040558432,0.9298364116739617,2.207475322373171,2.8549143915239195,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_partial_heavy/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260507_001625.json
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,gsm8k,20.137247771756613,56.699921736498766,51.51541965206311,0.908562447254697,2.558215513657024,3.3179756797850275,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_partial_heavy/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260507_001625.json
qwen3_14b_hardware_transfer,bf16_hwproxy,randomized_proxy,rtxa6000,NVIDIA RTX A6000,bf16,mt_bench,20.151600411861523,49.87944984579865,45.87141904300324,0.9196456493568762,2.2763164267589717,2.947500920998912,10.0,3.0,/u/sx24/scratch/LTD_reproduce/evaluate/results/hardware_transfer_calibrated/a6000_partial_heavy/Qwen3-14B/bf16/rtxa6000/bf16_hwproxy/benchmark_results_20260507_001625.json
